	HB.var_c
0	2.20000000000000018E0
1	3.30000000000000027E0
2	4.40000000000000036E0
3	5.50000000000000000E0
4	6.59999999999999964E0
5	7.69999999999999929E0
6	8.79999999999999893E0
7	9.89999999999999858E0
8	1.09999999999999987E1
9	1.20999999999999974E1
10	1.31999999999999984E1
11	1.42999999999999972E1
12	1.53999999999999959E1
13	1.64999999999999969E1
14	1.75999999999999979E1
15	1.86999999999999988E1
16	1.97999999999999998E1
17	2.09000000000000030E1
18	2.20000000000000018E1
19	2.31000000000000050E1
20	2.42000000000000082E1
21	2.53000000000000069E1
22	2.64000000000000101E1
23	2.75000000000000089E1
24	2.86000000000000121E1
25	2.97000000000000153E1
26	3.08000000000000140E1
27	3.19000000000000172E1
28	3.30000000000000160E1
29	3.41000000000000147E1
30	3.52000000000000179E1
31	3.63000000000000167E1
32	3.74000000000000199E1
33	3.85000000000000231E1
34	3.96000000000000218E1
35	4.07000000000000206E1
36	4.18000000000000238E1
37	4.29000000000000270E1
38	4.40000000000000302E1
39	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
4.07000000000000206E1	0	0.00000000000000000E0
4.07000000000000206E1	1	2.45590143561042229E9
4.07000000000000206E1	2	4.91180287122084458E9
4.07000000000000206E1	3	7.36770430683126598E9
4.07000000000000206E1	4	9.82360574244168916E9
4.07000000000000206E1	5	1.22795071780521114E10
4.07000000000000206E1	6	1.47354086136625329E10
4.07000000000000206E1	7	1.71913100492729498E10
4.07000000000000206E1	8	1.96472114848833779E10
4.07000000000000206E1	9	2.21031129204937926E10
4.07000000000000206E1	10	2.45590143561042229E10

var_c	harmindex	freq[36, ::]
4.18000000000000238E1	0	0.00000000000000000E0
4.18000000000000238E1	1	2.45580111563284786E9
4.18000000000000238E1	2	4.91160223126569573E9
4.18000000000000238E1	3	7.36740334689854315E9
4.18000000000000238E1	4	9.82320446253139146E9
4.18000000000000238E1	5	1.22790055781642393E10
4.18000000000000238E1	6	1.47348066937970867E10
4.18000000000000238E1	7	1.71906078094299342E10
4.18000000000000238E1	8	1.96464089250627838E10
4.18000000000000238E1	9	2.21022100406956312E10
4.18000000000000238E1	10	2.45580111563284786E10

var_c	harmindex	freq[37, ::]
4.29000000000000270E1	0	0.00000000000000000E0
4.29000000000000270E1	1	2.45570591340048505E9
4.29000000000000270E1	2	4.91141182680097010E9
4.29000000000000270E1	3	7.36711774020145338E9
4.29000000000000270E1	4	9.82282365360194021E9
4.29000000000000270E1	5	1.22785295670024253E10
4.29000000000000270E1	6	1.47342354804029063E10
4.29000000000000270E1	7	1.71899413938033940E10
4.29000000000000270E1	8	1.96456473072038795E10
4.29000000000000270E1	9	2.21013532206043717E10
4.29000000000000270E1	10	2.45570591340048505E10

var_c	harmindex	freq[38, ::]
4.40000000000000302E1	0	0.00000000000000000E0
4.40000000000000302E1	1	2.45561544703781554E9
4.40000000000000302E1	2	4.91123089407563107E9
4.40000000000000302E1	3	7.36684634111344661E9
4.40000000000000302E1	4	9.82246178815126214E9
4.40000000000000302E1	5	1.22780772351890777E10
4.40000000000000302E1	6	1.47336926822268932E10
4.40000000000000302E1	7	1.71893081292647087E10
4.40000000000000302E1	8	1.96449235763025243E10
4.40000000000000302E1	9	2.21005390233403398E10
4.40000000000000302E1	10	2.45561544703781554E10

var_c	harmindex	freq[39, ::]
4.43999999999999950E1	0	0.00000000000000000E0
4.43999999999999950E1	1	2.45558365589105820E9
4.43999999999999950E1	2	4.91116731178211641E9
4.43999999999999950E1	3	7.36675096767317417E9
4.43999999999999950E1	4	9.82233462356423281E9
4.43999999999999950E1	5	1.22779182794552910E10
4.43999999999999950E1	6	1.47335019353463492E10
4.43999999999999950E1	7	1.71890855912374074E10
4.43999999999999950E1	8	1.96446692471284656E10
4.43999999999999950E1	9	2.21002529030195261E10
4.43999999999999950E1	10	2.45558365589105820E10


