	HB.var_c
2.80000000000000071E0	6	1.50234180993589250E10
2.80000000000000071E0	7	1.75273211159187481E10
2.80000000000000071E0	8	2.00312241324785623E10
2.80000000000000071E0	9	2.25351271490383809E10
2.80000000000000071E0	10	2.50390301655982039E10

var_c	harmindex	freq[7, ::]
2.90000000000000080E0	0	0.00000000000000000E0
2.90000000000000080E0	1	2.50224537292417271E9
2.90000000000000080E0	2	5.00449074584834541E9
2.90000000000000080E0	3	7.50673611877251723E9
2.90000000000000080E0	4	1.00089814916966913E10
2.90000000000000080E0	5	1.25112268646208635E10
2.90000000000000080E0	6	1.50134722375450336E10
2.90000000000000080E0	7	1.75157176104692058E10
2.90000000000000080E0	8	2.00179629833933825E10
2.90000000000000080E0	9	2.25202083563175526E10
2.90000000000000080E0	10	2.50224537292417271E10

var_c	harmindex	freq[8, ::]
3.00000000000000089E0	0	0.00000000000000000E0
3.00000000000000089E0	1	2.50069043971481664E9
3.00000000000000089E0	2	5.00138087942963327E9
3.00000000000000089E0	3	7.50207131914445036E9
3.00000000000000089E0	4	1.00027617588592665E10
3.00000000000000089E0	5	1.25034521985740832E10
3.00000000000000089E0	6	1.50041426382888998E10
3.00000000000000089E0	7	1.75048330780037142E10
3.00000000000000089E0	8	2.00055235177185331E10
3.00000000000000089E0	9	2.25062139574333475E10
3.00000000000000089E0	10	2.50069043971481664E10

var_c	harmindex	freq[9, ::]
3.10000000000000098E0	0	0.00000000000000000E0
3.10000000000000098E0	1	2.49922895959264224E9
3.10000000000000098E0	2	4.99845791918528448E9
3.10000000000000098E0	3	7.49768687877792672E9
3.10000000000000098E0	4	9.99691583837056896E9
3.10000000000000098E0	5	1.24961447979632112E10
3.10000000000000098E0	6	1.49953737575558543E10
3.10000000000000098E0	7	1.74946027171484952E10
3.10000000000000098E0	8	1.99938316767411384E10
3.10000000000000098E0	9	2.24930606363337793E10
3.10000000000000098E0	10	2.49922895959264224E10

var_c	harmindex	freq[10, ::]
3.20000000000000107E0	0	0.00000000000000000E0
3.20000000000000107E0	1	2.49785275506773807E9
3.20000000000000107E0	2	4.99570551013547615E9
3.20000000000000107E0	3	7.49355826520321244E9
3.20000000000000107E0	4	9.99141102027095229E9
3.20000000000000107E0	5	1.24892637753386904E10
3.20000000000000107E0	6	1.49871165304064258E10
3.20000000000000107E0	7	1.74849692854741678E10
3.20000000000000107E0	8	1.99828220405419055E10
3.20000000000000107E0	9	2.24806747956096453E10
3.20000000000000107E0	10	2.49785275506773807E10

var_c	harmindex	freq[11, ::]
3.30000000000000115E0	0	0.00000000000000000E0
3.30000000000000115E0	1	2.49655457553220028E9
3.30000000000000115E0	2	4.99310915106440056E9
