	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
3.01000000000000023E1	3	7.37932417714172129E9
3.01000000000000023E1	4	9.83909890285562838E9
3.01000000000000023E1	5	1.22988736285695355E10
3.01000000000000023E1	6	1.47586483542834435E10
3.01000000000000023E1	7	1.72184230799973514E10
3.01000000000000023E1	8	1.96781978057112572E10
3.01000000000000023E1	9	2.21379725314251630E10
3.01000000000000023E1	10	2.45977472571390710E10

var_c	harmindex	freq[30, ::]
3.11000000000000032E1	0	0.00000000000000000E0
3.11000000000000032E1	1	2.45945005100057745E9
3.11000000000000032E1	2	4.91890010200115491E9
3.11000000000000032E1	3	7.37835015300173147E9
3.11000000000000032E1	4	9.83780020400230981E9
3.11000000000000032E1	5	1.22972502550028850E10
3.11000000000000032E1	6	1.47567003060034629E10
3.11000000000000032E1	7	1.72161503570040475E10
3.11000000000000032E1	8	1.96756004080046187E10
3.11000000000000032E1	9	2.21350504590051944E10
3.11000000000000032E1	10	2.45945005100057701E10

var_c	harmindex	freq[31, ::]
3.20999999999999996E1	0	0.00000000000000000E0
3.20999999999999996E1	1	2.45914532307485656E9
3.20999999999999996E1	2	4.91829064614971312E9
3.20999999999999996E1	3	7.37743596922456835E9
3.20999999999999996E1	4	9.83658129229942624E9
3.20999999999999996E1	5	1.22957266153742828E10
3.20999999999999996E1	6	1.47548719384491367E10
3.20999999999999996E1	7	1.72140172615239995E10
3.20999999999999996E1	8	1.96731625845988534E10
3.20999999999999996E1	9	2.21323079076737095E10
3.20999999999999996E1	10	2.45914532307485656E10

var_c	harmindex	freq[32, ::]
3.31000000000000005E1	0	0.00000000000000000E0
3.31000000000000005E1	1	2.45885875855667368E9
3.31000000000000005E1	2	4.91771751711334737E9
3.31000000000000005E1	3	7.37657627567001839E9
3.31000000000000005E1	4	9.83543503422669474E9
3.31000000000000005E1	5	1.22942937927833684E10
3.31000000000000005E1	6	1.47531525513400363E10
3.31000000000000005E1	7	1.72120113098967176E10
3.31000000000000005E1	8	1.96708700684533899E10
3.31000000000000005E1	9	2.21297288270100667E10
3.31000000000000005E1	10	2.45885875855667368E10

var_c	harmindex	freq[33, ::]
3.41000000000000014E1	0	0.00000000000000000E0
3.41000000000000014E1	1	2.45858878050674345E9
3.41000000000000014E1	2	4.91717756101348691E9
3.41000000000000014E1	3	7.37576634152023036E9
3.41000000000000014E1	4	9.83435512202697382E9
3.41000000000000014E1	5	1.22929439025337173E10
3.41000000000000014E1	6	1.47515326830404603E10
3.41000000000000014E1	7	1.72101214635472077E10
3.41000000000000014E1	8	1.96687102440539485E10
3.41000000000000014E1	9	2.21272990245606893E10
3.41000000000000014E1	10	2.45858878050674345E10

var_c	harmindex	freq[34, ::]
3.51000000000000023E1	0	0.00000000000000000E0
3.51000000000000023E1	1	2.45833398939542702E9
3.51000000000000023E1	2	4.91666797879085404E9
3.51000000000000023E1	3	7.37500196818628062E9
3.51000000000000023E1	4	9.83333595758170809E9
3.51000000000000023E1	5	1.22916699469771351E10
3.51000000000000023E1	6	1.47500039363725621E10
3.51000000000000023E1	7	1.72083379257679847E10
3.51000000000000023E1	8	1.96666719151634162E10
3.51000000000000023E1	9	2.21250059045588454E10
3.51000000000000023E1	10	2.45833398939542702E10

var_c	harmindex	freq[35, ::]
3.61000000000000032E1	0	0.00000000000000000E0
3.61000000000000032E1	1	2.45809313883664071E9
3.61000000000000032E1	2	4.91618627767328142E9
3.61000000000000032E1	3	7.37427941650992391E9
3.61000000000000032E1	4	9.83237255534656285E9
3.61000000000000032E1	5	1.22904656941832036E10
3.61000000000000032E1	6	1.47485588330198469E10
3.61000000000000032E1	7	1.72066519718564814E10
3.61000000000000032E1	8	1.96647451106931248E10
3.61000000000000032E1	9	2.21228382495297726E10
3.61000000000000032E1	10	2.45809313883664071E10

var_c	harmindex	freq[36, ::]
3.70999999999999996E1	0	0.00000000000000000E0
3.70999999999999996E1	1	2.45786511519862039E9
3.70999999999999996E1	2	4.91573023039724077E9
3.70999999999999996E1	3	7.37359534559585672E9
3.70999999999999996E1	4	9.83146046079448155E9
3.70999999999999996E1	5	1.22893255759930953E10
3.70999999999999996E1	6	1.47471906911917139E10
3.70999999999999996E1	7	1.72050558063903369E10
3.70999999999999996E1	8	1.96629209215889622E10
3.70999999999999996E1	9	2.21207860367875764E10
3.70999999999999996E1	10	2.45786511519861905E10

var_c	harmindex	freq[37, ::]
3.81000000000000005E1	0	0.00000000000000000E0
3.81000000000000005E1	1	2.45764892038766813E9
3.81000000000000005E1	2	4.91529784077533627E9
3.81000000000000005E1	3	7.37294676116300440E9
3.81000000000000005E1	4	9.83059568155067254E9
3.81000000000000005E1	5	1.22882446019383385E10
3.81000000000000005E1	6	1.47458935223260079E10
3.81000000000000005E1	7	1.72035424427136729E10
3.81000000000000005E1	8	1.96611913631013446E10
3.81000000000000005E1	9	2.21188402834890141E10
3.81000000000000005E1	10	2.45764892038766769E10

var_c	harmindex	freq[38, ::]
3.91000000000000014E1	0	0.00000000000000000E0
3.91000000000000014E1	1	2.45744365724343172E9
3.91000000000000014E1	2	4.91488731448686345E9
3.91000000000000014E1	3	7.37233097173029428E9
3.91000000000000014E1	4	9.82977462897372689E9
3.91000000000000014E1	5	1.22872182862171586E10
3.91000000000000014E1	6	1.47446619434605886E10
3.91000000000000014E1	7	1.72021056007040229E10
3.91000000000000014E1	8	1.96595492579474529E10
3.91000000000000014E1	9	2.21169929151908828E10
3.91000000000000014E1	10	2.45744365724343172E10

var_c	harmindex	freq[39, ::]
4.00999999999999979E1	0	0.00000000000000000E0
4.00999999999999979E1	1	2.45724851709482328E9
4.00999999999999979E1	2	4.91449703418964656E9
4.00999999999999979E1	3	7.37174555128447384E9
4.00999999999999979E1	4	9.82899406837929313E9
4.00999999999999979E1	5	1.22862425854741164E10
4.00999999999999979E1	6	1.47434911025689486E10
4.00999999999999979E1	7	1.72007396196637674E10
4.00999999999999979E1	8	1.96579881367585863E10
4.00999999999999979E1	9	2.21152366538534206E10
4.00999999999999979E1	10	2.45724851709482328E10

var_c	harmindex	freq[40, ::]
4.11000000000000032E1	0	0.00000000000000000E0
4.11000000000000032E1	1	2.45706276911274113E9
4.11000000000000032E1	2	4.91412553822548226E9
4.11000000000000032E1	3	7.37118830733822250E9
4.11000000000000032E1	4	9.82825107645096452E9
4.11000000000000032E1	5	1.22853138455637056E10
4.11000000000000032E1	6	1.47423766146764446E10
4.11000000000000032E1	7	1.71994393837891901E10
4.11000000000000032E1	8	1.96565021529019290E10
