	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.21999999999999975E1


var_c	harmindex	freq[0, ::]
1.61000000000000010E1	1	2.46843878636854708E9
1.61000000000000010E1	2	4.93687757273709416E9
1.61000000000000010E1	3	7.40531635910564212E9
1.61000000000000010E1	4	9.87375514547418831E9
1.61000000000000010E1	5	1.23421939318427332E10
1.61000000000000010E1	6	1.48106327182112851E10
1.61000000000000010E1	7	1.72790715045798327E10
1.61000000000000010E1	8	1.97475102909483757E10
1.61000000000000010E1	9	2.22159490773169255E10
1.61000000000000010E1	10	2.46843878636854663E10

var_c	harmindex	freq[16, ::]
1.71000000000000019E1	0	0.00000000000000000E0
1.71000000000000019E1	1	2.46736163557754429E9
1.71000000000000019E1	2	4.93472327115508858E9
1.71000000000000019E1	3	7.40208490673263242E9
1.71000000000000019E1	4	9.86944654231017715E9
1.71000000000000019E1	5	1.23368081778877192E10
1.71000000000000019E1	6	1.48041698134652644E10
1.71000000000000019E1	7	1.72715314490428140E10
1.71000000000000019E1	8	1.97388930846203547E10
1.71000000000000019E1	9	2.22062547201979044E10
1.71000000000000019E1	10	2.46736163557754384E10

var_c	harmindex	freq[17, ::]
1.81000000000000005E1	0	0.00000000000000000E0
1.81000000000000005E1	1	2.46640058749318003E9
1.81000000000000005E1	2	4.93280117498636006E9
1.81000000000000005E1	3	7.39920176247953965E9
1.81000000000000005E1	4	9.86560234997272012E9
1.81000000000000005E1	5	1.23320029374658979E10
1.81000000000000005E1	6	1.47984035249590784E10
1.81000000000000005E1	7	1.72648041124522633E10
1.81000000000000005E1	8	1.97312046999454394E10
1.81000000000000005E1	9	2.21976052874386109E10
1.81000000000000005E1	10	2.46640058749317959E10

var_c	harmindex	freq[18, ::]
1.91000000000000014E1	0	0.00000000000000000E0
1.91000000000000014E1	1	2.46553783115663316E9
1.91000000000000014E1	2	4.93107566231326633E9
1.91000000000000014E1	3	7.39661349346989816E9
1.91000000000000014E1	4	9.86215132462653266E9
1.91000000000000014E1	5	1.23276891557831658E10
1.91000000000000014E1	6	1.47932269869397959E10
1.91000000000000014E1	7	1.72587648180964348E10
1.91000000000000014E1	8	1.97243026492530649E10
1.91000000000000014E1	9	2.21898404804096927E10
1.91000000000000014E1	10	2.46553783115663316E10

var_c	harmindex	freq[19, ::]
2.01000000000000023E1	0	0.00000000000000000E0
2.01000000000000023E1	1	2.46475902136489822E9
2.01000000000000023E1	2	4.92951804272979643E9
2.01000000000000023E1	3	7.39427706409469643E9
2.01000000000000023E1	4	9.85903608545959287E9
2.01000000000000023E1	5	1.23237951068244911E10
2.01000000000000023E1	6	1.47885541281893929E10
